"Timestamp","ATG_N2_POT"
"03/09/2013 10:39:08","1354"
"03/09/2013 10:42:46","1354"
"03/09/2013 10:46:23","1354"
"03/09/2013 10:50:00","1360"
"03/09/2013 10:53:38","1348"
"03/09/2013 10:57:15","1357"
"03/09/2013 11:00:53","1349"
"03/09/2013 11:04:30","1350"
"03/09/2013 11:08:08","1354"
"03/09/2013 11:11:45","1346"
"03/09/2013 11:15:23","1337"
"03/09/2013 11:19:00","1354"
"03/09/2013 11:22:37","1348"
"03/09/2013 11:26:15","1360"
"03/09/2013 11:29:52","1350"
"03/09/2013 11:33:30","1358"
"03/09/2013 11:37:07","1341"
"03/09/2013 11:40:45","1357"
"03/09/2013 11:44:22","1356"
"03/09/2013 11:47:59","1346"
"03/09/2013 11:51:37","1361"
"03/09/2013 11:55:14","1349"
"03/09/2013 11:58:52","1345"
"03/09/2013 12:02:29","1347"
"03/09/2013 12:06:07","1353"
"03/09/2013 12:09:44","1344"
"03/09/2013 12:13:21","1360"
"03/09/2013 12:16:59","1345"
"03/09/2013 12:20:36","1352"
"03/09/2013 12:24:14","1351"
"03/09/2013 12:27:51","1345"
"03/09/2013 12:31:29","1355"
"03/09/2013 12:35:06","1346"
"03/09/2013 12:38:44","1356"
"03/09/2013 12:42:21","1343"
"03/09/2013 12:45:58","1354"
"03/09/2013 12:49:36","1353"
"03/09/2013 12:53:13","1347"
"03/09/2013 12:56:51","1341"
"03/09/2013 13:00:28","1353"
"03/09/2013 13:04:06","1353"
"03/09/2013 13:07:43","1354"
"03/09/2013 13:11:20","1362"
"03/09/2013 13:14:58","1339"
"03/09/2013 13:18:35","1345"
"03/09/2013 13:22:13","1346"
"03/09/2013 13:25:50","1357"
"03/09/2013 13:29:28","1350"
"03/09/2013 13:33:05","1352"
"03/09/2013 13:36:43","1359"
"03/09/2013 13:40:20","1349"
"03/09/2013 13:43:57","1354"
"03/09/2013 13:47:35","1348"
"03/09/2013 13:51:12","1352"
"03/09/2013 13:54:50","1345"
"03/09/2013 13:58:27","1360"
"03/09/2013 14:02:05","1356"
"03/09/2013 14:05:42","1348"
"03/09/2013 14:09:19","1351"
"03/09/2013 14:12:57","1354"
"03/09/2013 14:16:34","1357"
"03/09/2013 14:20:12","1355"
"03/09/2013 14:23:49","1343"
"03/09/2013 14:27:27","1347"
"03/09/2013 14:31:04","1361"
"03/09/2013 14:34:41","1346"
"03/09/2013 14:38:19","1354"
"03/09/2013 14:41:56","1357"
"03/09/2013 14:45:34","1341"
"03/09/2013 14:49:11","1345"
